Type,Plant_Size,year,$\eta$,$OP$,$P_D$,$C_D$,$P_C$,$C_C$,$I_C$,$F_C$,$V_C$,$In_C$,$Con_C$
CCGT,168.0,"2018, 2020, 2025",0.34,25.0,3,3,"60,000.0","700,000.0","13,600.0","28,200.0",5.0,"2,900.0","3,300.0"
CCGT,1200.0,"2018, 2020, 2025",0.54,25.0,3,3,"10,000.0","500,000.0","15,100.0","12,200.0",3.0,"2,100.0","3,300.0"
CCGT,1471.0,"2018, 2020, 2025",0.53,25.0,3,3,"10,000.0","500,000.0","15,100.0","11,400.0",3.0,"1,900.0","3,300.0"
Coal,552.0,2025,0.32,25.0,6,6,"40,000.0","3,400,000.0","10,000.0","68,200.0",6.0,"13,000.0","3,800.0"
Coal,624.0,2025,0.32,25.0,5,5,"70,000.0","4,200,000.0","10,000.0","79,600.0",3.0,"19,300.0","3,800.0"
Coal,652.0,2025,0.3,25.0,5,5,"60,000.0","3,900,000.0","10,000.0","65,300.0",5.0,"22,700.0","3,800.0"
Coal,734.0,2025,0.38,25.0,5,5,"60,000.0","2,600,000.0","10,000.0","56,400.0",3.0,"9,600.0","3,800.0"
Coal,760.0,2025,0.35,25.0,5,5,"40,000.0","2,800,000.0","10,000.0","52,100.0",5.0,"14,000.0","3,800.0"
Hydro,0.033,"2018, 2020, 2025",1.0,35.0,0,0,0.0,"6,300,000.0",0.0,"83,300.0",0.0,0.0,0.0
Hydro,1.046,"2018, 2020, 2025",1.0,35.0,0,0,0.0,"3,300,000.0",400.0,"18,200.0",0.0,0.0,0.0
Hydro,11.0,"2018, 2020, 2025",1.0,41.0,2,2,"60,000.0","3,000,000.0",0.0,"45,100.0",6.0,0.0,0.0
Nuclear,3300.0,2025,1.0,60.0,5,8,"240,000.0","4,100,000.0","11,500.0","72,900.0",5.0,"10,000.0",500.0
OCGT,96.0,"2018, 2020, 2025",0.35,25.0,2,2,"80,000.0","600,000.0","12,600.0","9,900.0",4.0,"2,500.0","2,400.0"
OCGT,299.0,"2018, 2020, 2025",0.35,25.0,2,2,"30,000.0","400,000.0","13,600.0","9,600.0",3.0,"1,600.0","2,500.0"
OCGT,311.0,"2018, 2020, 2025",0.35,25.0,2,2,"30,000.0","400,000.0","13,600.0","9,500.0",3.0,"1,600.0","2,500.0"
OCGT,400.0,"2018, 2020, 2025",0.34,25.0,2,2,"30,000.0","300,000.0","15,100.0","7,800.0",3.0,"1,300.0","2,500.0"
OCGT,625.0,"2018, 2020, 2025",0.35,25.0,2,2,"20,000.0","300,000.0","15,100.0","4,600.0",3.0,"1,200.0","2,400.0"
Offshore,321.0,2018,0.0,23.0,5,3,"60,000.0","2,200,000.0","69,300.0","30,900.0",3.0,"1,400.0","33,500.0"
