,connection_cost_per_mw,construction_cost_per_mw,fixed_o_and_m_per_mw,infrastructure,insurance_cost_per_mw,pre_dev_cost_per_mw,variable_o_and_m_per_mwh,pre_dev_period,operating_period,construction_period,efficiency,average_load_factor,construction_spend_years,pre_dev_spend_years,Plant_Size,Type,Year
0,19503.91242755438,2955138.247386527,72105.37329807742,89245.17514801776,12411.580649793217,59102.76499838069,31.039484514544263,3.0,25.0,3.0,0.54,0.93,"[0.4, 0.4, 0.2]","[0.44, 0.44, 0.12]",1200.0,CCGT,1980.0
1,30360.156377818967,4600023.694051078,104880.54022420761,138920.71555877474,17480.09003717424,92000.47388005916,10.429172397177656,3.0,25.0,3.0,0.53,0.93,"[0.4, 0.4, 0.2]","[0.44, 0.44, 0.12]",1471.0,CCGT,1980.0
2,11403.985488966226,2419027.2251356496,97452.2396414722,46998.24323143337,10021.684218470979,207345.19072580856,22.410819301481364,3.0,25.0,3.0,0.34,0.93,"[0.4, 0.4, 0.2]","[0.435, 0.435, 0.13]",168.0,CCGT,1980.0
3,19762.02730577195,2994246.5625238726,73059.61633532382,90426.24644821235,12575.83559977143,59884.931438283165,21.94997923921078,3.0,25.0,3.0,0.54,0.93,"[0.4, 0.4, 0.2]","[0.44, 0.44, 0.12]",1200.0,CCGT,1990.0
4,17917.794979094404,2714817.42171754,61897.83720599186,81987.48612399407,10316.306201101992,54296.34842615962,26.011898982793245,3.0,25.0,3.0,0.53,0.93,"[0.4, 0.4, 0.2]","[0.44, 0.44, 0.12]",1471.0,CCGT,1990.0
5,9966.467485514038,2114099.1676745214,85167.99509008089,41073.92670993551,8758.410842875757,181208.50020359646,13.862263454024482,3.0,25.0,3.0,0.34,0.93,"[0.4, 0.4, 0.2]","[0.435, 0.435, 0.13]",168.0,CCGT,1990.0
6,16392.733945463155,2483747.5676185885,60603.4406568137,75009.17655048474,10431.739785173275,49674.95135792903,21.293583156996252,3.0,25.0,3.0,0.54,0.93,"[0.4, 0.4, 0.2]","[0.44, 0.44, 0.12]",1200.0,CCGT,2000.0
7,16272.404598757215,2465515.848309419,56213.76131891948,74458.57858959348,9368.960219949908,49310.31694728744,21.562137035738246,3.0,25.0,3.0,0.53,0.93,"[0.4, 0.4, 0.2]","[0.44, 0.44, 0.12]",1471.0,CCGT,2000.0
8,6402.423831273734,1358089.9024279017,54711.62181758121,26385.746692696743,5626.372456553758,116407.70600611278,10.371639738300708,3.0,25.0,3.0,0.34,0.93,"[0.4, 0.4, 0.2]","[0.435, 0.435, 0.13]",168.0,CCGT,2000.0
9,20011.255639657586,3032008.4305334818,73981.00571032241,91566.65460942332,12734.435409212496,60640.16861520001,13.039145467001672,3.0,25.0,3.0,0.54,0.93,"[0.4, 0.4, 0.2]","[0.44, 0.44, 0.12]",1200.0,CCGT,2010.0
10,15509.656699340485,2349947.9852724387,53578.8140555646,70968.42914288628,8929.802342276602,46998.959696585676,21.83480620993379,3.0,25.0,3.0,0.53,0.93,"[0.4, 0.4, 0.2]","[0.44, 0.44, 0.12]",1471.0,CCGT,2010.0
11,4044.1875707159606,857857.962413641,34559.42097962651,16666.95480856928,3553.9830122248763,73530.68306683851,11.652843054742586,3.0,25.0,3.0,0.34,0.93,"[0.4, 0.4, 0.2]","[0.435, 0.435, 0.13]",168.0,CCGT,2010.0
12,11213.899210705982,10033488.769160511,201259.98056220677,29510.261079359978,38363.33940318494,118041.04431826505,22.2045565750946,6.0,25.0,6.0,0.32,0.91,"[0.182, 0.182, 0.182, 0.182, 0.182, 0.091]","[0.16699999999999998, 0.16699999999999998, 0.16699999999999998, 0.16699999999999998, 0.16699999999999998, 0.16699999999999998]",552.0,Coal,1980.0
13,9980.497401888268,11031076.074194508,206176.06462061722,26264.466830630696,41497.85759240867,183851.26781415267,15.353535383991812,5.0,25.0,5.0,0.32,0.91,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]",624.0,Coal,1980.0
14,10218.48011671086,10487387.49100464,175596.51361787005,26890.737154264247,61041.97333994107,161344.42292259497,16.460134027241853,5.0,25.0,5.0,0.3,0.88,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]",652.0,Coal,1980.0
15,15217.299023745016,11212746.643503567,208637.1783594522,40045.523677440884,56063.73314841723,160182.0947075608,8.335303540887214,5.0,25.0,5.0,0.35,0.88,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]",760.0,Coal,1980.0
16,15818.52129469157,10823198.779612731,234780.15813768544,41627.68761307205,39962.58010855335,249766.12567904228,16.13683431798322,5.0,25.0,5.0,0.38,0.91,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]",734.0,Coal,1980.0
17,10231.56449807069,11308571.287325123,211362.58239957425,26925.169732414026,42541.76817719263,188476.18812691252,11.774932940870228,5.0,25.0,5.0,0.32,0.91,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]",624.0,Coal,1980.0
18,3967.8627600251098,3550192.9940017136,71212.69473864447,10441.744096724886,13574.267325677158,41766.976386838294,2.1981201424301466,6.0,25.0,6.0,0.32,0.91,"[0.182, 0.182, 0.182, 0.182, 0.182, 0.091]","[0.16699999999999998, 0.16699999999999998, 0.16699999999999998, 0.16699999999999998, 0.16699999999999998, 0.16699999999999998]",552.0,Coal,1990.0
19,3390.580417813106,3747483.6152842627,70042.25325673257,8922.580031882273,14097.676449849825,62458.06021902408,5.222006736428572,5.0,25.0,5.0,0.32,0.91,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]",624.0,Coal,1990.0
20,3454.3318942386245,3545235.3669868037,59359.96643157821,9090.347079747773,20635.087871180098,54542.08247934614,4.292125368205553,5.0,25.0,5.0,0.3,0.88,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]",652.0,Coal,1990.0
21,5244.778768444564,3864573.8298744503,71908.67732414935,13802.049390588252,19322.86914687323,55208.197562203386,4.072022138994261,5.0,25.0,5.0,0.35,0.88,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]",760.0,Coal,1990.0
22,5568.3201286311305,3809903.2477151924,82645.59348478347,14653.474022116723,14067.335061219515,87920.84413281124,7.357949258538309,5.0,25.0,5.0,0.38,0.91,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]",734.0,Coal,1990.0
23,3535.436877965358,3907588.126656201,73034.68289961989,9303.781260903232,14699.97439226246,65126.46882462724,3.157285008311925,5.0,25.0,5.0,0.32,0.91,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.2, 0.2]",624.0,Coal,1990.0
